tf_idx,target_idx
1120,207
220,1601
220,454
482,1387
1208,283
1496,604
1473,639
482,1460
1541,1576
1462,1005
1541,200
482,1295
1458,550
1208,603
362,1059
1120,63
1462,1261
482,166
482,886
1541,630
1541,639
1460,49
1541,1295
482,294
482,1679
1039,1295
1094,1176
1541,886
482,1508
482,1517
220,474
1094,129
1094,1459
1456,890
1288,1498
482,278
482,104
1473,1208
482,888
482,1126
909,1477
482,479
482,598
1541,49
909,1059
1094,49
482,70
482,15
482,1574
482,1519
1396,917
1462,954
1473,353
482,991
1791,327
482,454
482,225
482,1247
482,353
482,1073
482,1793
1120,1461
482,362
482,1265
482,63
482,609
1456,1459
482,127
1541,362
909,1134
482,975
482,1402
909,1372
1460,1459
482,1167
482,1176
482,1722
482,1786
482,1249
1496,640
108,630
362,1440
220,44
482,312
482,1523
482,931
482,1114
1336,1099
362,1296
1288,903
1039,629
362,48
1094,629
1120,437
1039,638
482,49
1473,1461
1541,284
1541,522
482,604
482,1617
1791,1481
1473,1534
1473,1116
1541,604
220,1367
482,915
482,204
482,1043
1496,1517
1039,604
1208,58
1120,1440
482,451
482,570
362,1481
482,588
482,1134
1473,1335
1541,1116
482,1491
1541,1134
909,640
362,132
482,1573
909,475
482,197
108,1073
1336,1250
1496,1211
1845,297
1458,1020
482,279
482,1411
482,691
1120,960
482,462
1496,399
909,923
1460,345
399,1367
1039,279
220,87
362,1019
482,901
1336,886
1288,1584
1462,391
220,642
482,1804
1462,1056
383,886
1473,1120
482,1520
1456,1049
482,208
482,327
482,1285
482,1111
362,454
1541,1401
1462,903
909,1099
1396,1531
1541,482
383,49
482,375
482,1040
1288,164
482,750
482,1296
482,640
1462,1515
1541,1003
1120,1766
909,1293
482,2
399,1182
482,960
482,1015
482,487
362,1270
482,432
482,551
909,902
1496,1043
1456,1364
482,633
482,1472
399,89
482,1481
1541,633
482,1017
383,874
482,1682
1094,166
1208,935
482,370
909,1551
482,672
482,1099
482,736
482,388
1791,1219
482,1172
1546,1049
482,1529
1456,1003
1473,1620
1473,70
1288,61
1496,44
482,1019
1473,1766
482,909
482,1812
1120,705
1456,1460
1336,1553
1120,1208
362,1722
482,1003
1094,326
482,1021
